gemeente,inwoners,capaciteitKVA,gasaansluitingen,provincie,mercator/x,mercator/y,lngLat/lat,lngLat/lng,percentageGroeneEnergie/2010,percentageGroeneEnergie/2011,percentageGroeneEnergie/2012,percentageGroeneEnergie/2013,percentageGroeneEnergie/2014,percentageGroeneEnergie/2015,percentageGroeneEnergie/2016,percentageGroeneEnergie/2017,percentageGroeneEnergie/2018
Blaricum,11530,18445,4086,Noord-Holland,583774.761,6815730.477,52.2725049,5.2441379,"3,1","4,2",?,"4,5",?,"5,3","4,1",?,"5,4"
Edam-Volendam,36145,51265,15906,Noord-Holland,559560.296,6865991.706,52.5486116,5.0266157,"2,1","2,4","2,4","2,5",?,"2,7","2,6",?,"3,8"
Enkhuizen,18575,22820,9023,Noord-Holland,588893.71,6894349.621,52.7036282,5.2901222,"3,1","3,7","3,3","3,4",?,"3,6","3,8","4,0","4,4"
Haarlem,162675,158250,73302,Noord-Holland,516389.388,6836812.97,52.3885317,4.6388048,"2,1","2,7","2,4","2,3","2,3","2,2","2,0","2,3","2,9"
Heerhugowaard,57500,80690,21159,Noord-Holland,537970.052,6886934.714,52.6631484,4.8326672,"1,8","2,9","2,8",?,"3,5","3,7","3,7","4,1","4,9"
Heiloo,23920,31235,10712,Noord-Holland,524529.27,6875682.745,52.6016491,4.7119266,"2,7","3,2","2,9","2,8","3,1","3,0","2,8",?,"4,5"
Den Helder,56160,74865,29349,Noord-Holland,529911.834,6941098.799,52.957976,4.760279,"2,1","2,5","2,4","2,5","2,8","2,5","2,4","2,9","3,5"
Hoorn,73105,88450,33117,Noord-Holland,564788.364,6885126.647,52.653272,5.0735802,"2,0","2,4","2,3","2,5","2,8","2,8","2,9","3,2","4,1"
Huizen,41205,44550,18516,Noord-Holland,585290.209,6820041.908,52.2962576,5.2577514,"2,1","2,2","2,0","1,8","1,9","1,7","1,6","2,0","2,9"
Landsmeer,11475,15685,4951,Noord-Holland,546980.43,6844290.358,52.4296098,4.9136088,"2,7","2,9",?,?,?,"3,3","3,2",?,"4,5"
Langedijk,28150,37660,10611,Noord-Holland,531966.03,6891836.266,52.6899114,4.7787322,"2,6","3,3",?,"4,9","5,5","5,7","5,3","5,7","6,7"
Laren,11260,17755,5359,Noord-Holland,581665.768,6812842.901,52.2565894,5.2251925,"2,2","2,9","2,9","2,8","3,3","3,1","2,8",?,"4,2"
Medemblik,10920,29690,6223,Noord-Holland,568419.027,6906282.028,52.768691,5.106195,"2,4","3,0","3,0","3,1","3,6","3,6","3,4","3,3","4,0"
Oostzaan,9730,10635,4207,Noord-Holland,542722.76,6845958.112,52.4387666,4.8753615,"2,2","2,8","2,9","2,9","3,4","3,3","3,1","3,5","4,6"
Opmeer,11810,21985,5110,Noord-Holland,548645.684,6894487.719,52.7043817,4.928568,"2,0","2,6","2,8","3,3","7,1","8,0","12,4","7,7","3,3"
Purmerend,81185,104400,12784,Noord-Holland,552309.728,6857571.866,52.5024789,4.9614827,"2,0","2,3",?,?,"32,0","35,7","39,2","41,0","43,5"
Schagen,3125,13610,3733,Noord-Holland,534830.119,6909870.69,52.7882395,4.8044607,"6,7","7,8","7,4","7,8","9,2","9,2","8,7","8,7","8,4"
Texel,13555,48405,8538,Noord-Holland,546103.492,6963180.563,53.0775961,4.9057311,"2,7","3,0","2,8","2,9","3,2","3,0","2,8","3,0","3,7"
Velsen,68495,84625,30759,Noord-Holland,512502.818,6848352.62,52.4519103,4.6038911,?,?,?,?,?,"0,7","0,6",?,?
Weesp,19705,31415,8940,Noord-Holland,560646.611,6822589.033,52.3102843,5.0363742,"1,2","1,4","1,3","1,4","1,5","1,6","1,6","2,0","2,5"
